uniqueid,bank_account,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
uniqueid_4654,No,Urban,No,2.0,44,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_507,No,Rural,Yes,2.0,17,Female,Child,Divorced/Seperated,Secondary education,Remittance Dependent
uniqueid_2669,No,Urban,No,1.0,35,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5101,No,Urban,No,2.0,30,Male,Head of Household,Single/Never Married,No formal education,Informally employed
uniqueid_996,No,Urban,No,2.0,25,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_4660,No,Urban,Yes,3.0,32,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5384,No,Rural,Yes,4.0,19,Male,Parent,Divorced/Seperated,Primary education,Informally employed
uniqueid_1255,No,Urban,Yes,5.0,23,Male,Other relative,Divorced/Seperated,Primary education,Remittance Dependent
uniqueid_4583,No,Urban,Yes,2.0,60,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_1208,No,Urban,No,3.0,52,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_3904,No,Urban,No,3.0,53,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_1339,No,Urban,Yes,1.0,24,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
uniqueid_5569,Yes,Rural,Yes,2.0,51,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
uniqueid_1505,No,Urban,Yes,3.0,35,Male,Head of Household,Single/Never Married,No formal education,Informally employed
uniqueid_3149,No,Urban,Yes,5.0,37,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_801,No,Rural,Yes,2.0,34,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private
uniqueid_2089,No,Urban,No,4.0,25,Female,Parent,Single/Never Married,No formal education,Self employed
uniqueid_3399,No,Urban,No,1.0,60,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_2306,No,Urban,No,2.0,73,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_753,No,Urban,No,,53,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_2006,No,Urban,No,2.0,37,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_2800,No,Urban,Yes,2.0,32,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_294,No,Urban,Yes,5.0,44,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3048,No,Rural,Yes,5.0,35,Male,Parent,Divorced/Seperated,Primary education,Informally employed
uniqueid_601,No,Urban,Yes,,45,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_4390,No,Urban,Yes,2.0,36,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4987,No,Urban,Yes,2.0,43,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_6519,No,Rural,Yes,,21,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_582,No,Urban,Yes,1.0,50,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_6256,No,Urban,Yes,4.0,52,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4929,No,Rural,No,2.0,22,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_4506,No,Urban,Yes,1.0,66,Male,Head of Household,Widowed,Primary education,Self employed
uniqueid_1462,No,Rural,Yes,2.0,28,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_2666,No,Urban,Yes,1.0,70,Female,Head of Household,Single/Never Married,No formal education,No Income
uniqueid_3941,No,Urban,No,3.0,17,Male,Parent,Divorced/Seperated,Primary education,No Income
uniqueid_667,No,Urban,No,,92,Female,Head of Household,Widowed,No formal education,Government Dependent
uniqueid_4228,No,Urban,No,2.0,42,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_4758,No,Urban,No,3.0,70,Male,Head of Household,Single/Never Married,No formal education,Informally employed
uniqueid_4328,No,Rural,Yes,4.0,25,Female,Spouse,Single/Never Married,Primary education,No Income
uniqueid_3363,No,Urban,Yes,1.0,37,Female,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_5675,Yes,Rural,Yes,2.0,27,Female,Child,Divorced/Seperated,Vocational/Specialised training,Self employed
uniqueid_5489,No,Urban,Yes,2.0,29,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
uniqueid_2627,No,Urban,Yes,5.0,49,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4943,No,Urban,Yes,3.0,27,Female,Child,Married/Living together,Primary education,Informally employed
uniqueid_2323,No,Rural,No,2.0,70,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_4493,No,Urban,Yes,,20,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5223,No,Urban,No,5.0,25,Female,Parent,Single/Never Married,Primary education,Self employed
uniqueid_543,No,Urban,Yes,1.0,52,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
uniqueid_5657,No,Urban,Yes,1.0,25,Male,Head of Household,Divorced/Seperated,Tertiary education,Self employed
uniqueid_1543,No,Urban,Yes,2.0,45,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1236,No,Rural,Yes,2.0,53,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_373,No,Urban,No,5.0,20,Male,Parent,Divorced/Seperated,Secondary education,No Income
uniqueid_5349,No,Rural,No,2.0,18,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_3073,No,Rural,Yes,2.0,29,Female,Spouse,Single/Never Married,Secondary education,Self employed
uniqueid_832,No,Urban,No,4.0,22,Female,Child,Divorced/Seperated,No formal education,Self employed
uniqueid_1805,No,Urban,No,,30,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_292,No,Urban,No,3.0,55,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_935,No,Urban,Yes,2.0,27,Female,Head of Household,Single/Never Married,Tertiary education,Self employed
uniqueid_5253,No,Rural,Yes,3.0,46,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_2286,No,Urban,No,1.0,50,Female,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_2919,No,Urban,Yes,2.0,21,Female,Parent,Divorced/Seperated,Tertiary education,Self employed
uniqueid_5389,No,Rural,Yes,2.0,45,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2915,Yes,Urban,Yes,2.0,25,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
uniqueid_5841,No,Urban,No,5.0,44,Male,Parent,Divorced/Seperated,Primary education,Informally employed
uniqueid_3781,No,Urban,Yes,2.0,44,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
uniqueid_4400,No,Urban,Yes,4.0,25,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_2639,No,Urban,Yes,2.0,56,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1097,No,Urban,No,2.0,65,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_3221,Yes,Rural,Yes,1.0,30,Male,Head of Household,Divorced/Seperated,Vocational/Specialised training,Formally employed Private
uniqueid_1912,No,Urban,Yes,3.0,60,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1357,No,Urban,No,2.0,39,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_6193,No,Rural,No,2.0,27,Female,Head of Household,Single/Never Married,No formal education,Remittance Dependent
uniqueid_4168,No,Rural,No,2.0,25,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_1055,No,Urban,No,2.0,16,Female,Spouse,Single/Never Married,Primary education,No Income
uniqueid_5515,No,Urban,No,3.0,46,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2833,No,Urban,Yes,5.0,28,Male,Parent,Single/Never Married,Primary education,Self employed
uniqueid_4072,No,Urban,No,2.0,25,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_830,No,Urban,Yes,2.0,28,Female,Parent,Married/Living together,Primary education,Self employed
uniqueid_4992,No,Rural,Yes,2.0,24,Female,Child,Single/Never Married,Primary education,No Income
uniqueid_3479,No,Rural,No,6.0,80,Male,Head of Household,Widowed,No formal education,Remittance Dependent
uniqueid_2083,No,Urban,No,1.0,54,Female,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_3173,No,Urban,Yes,2.0,31,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1687,No,Rural,No,3.0,20,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_5114,No,Urban,Yes,2.0,22,Female,Spouse,Single/Never Married,Secondary education,No Income
uniqueid_786,Yes,Urban,Yes,2.0,37,Female,Spouse,Single/Never Married,Vocational/Specialised training,Formally employed Private
uniqueid_4180,No,Urban,Yes,2.0,31,Male,Other non-relatives,Divorced/Seperated,No formal education,Self employed
uniqueid_2687,No,Rural,Yes,1.0,20,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
uniqueid_4221,No,Urban,No,4.0,47,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_2177,No,Urban,Yes,2.0,28,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_2659,No,Urban,No,2.0,30,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_1589,No,Urban,Yes,2.0,40,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_5102,No,Urban,Yes,1.0,45,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
uniqueid_3254,No,Urban,No,2.0,29,Female,Head of Household,Divorced/Seperated,Secondary education,Informally employed
uniqueid_4359,No,Rural,Yes,1.0,25,Female,Head of Household,Divorced/Seperated,Tertiary education,Remittance Dependent
uniqueid_4557,No,Urban,Yes,2.0,22,Female,Spouse,Single/Never Married,Tertiary education,No Income
uniqueid_1508,No,Urban,Yes,2.0,31,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2086,No,Rural,Yes,2.0,25,Female,Spouse,Single/Never Married,Primary education,No Income
uniqueid_455,Yes,Rural,Yes,1.0,30,Female,Head of Household,Divorced/Seperated,Vocational/Specialised training,Formally employed Private
uniqueid_5673,No,Urban,No,4.0,58,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_2169,No,Rural,No,2.0,63,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_111,No,Urban,No,2.0,45,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_5157,No,Urban,Yes,3.0,45,Male,Head of Household,Single/Never Married,No formal education,Informally employed
uniqueid_5670,No,Urban,No,2.0,31,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_4112,No,Urban,No,2.0,23,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1166,No,Urban,Yes,2.0,33,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_693,No,Rural,Yes,1.0,68,Female,Head of Household,Widowed,Primary education,Remittance Dependent
uniqueid_2778,No,Rural,No,2.0,42,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_2376,No,Rural,Yes,3.0,22,Female,Parent,Married/Living together,No formal education,Remittance Dependent
uniqueid_3384,No,Urban,No,2.0,40,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_557,No,Urban,Yes,2.0,40,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_1279,No,Urban,No,2.0,19,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_4394,No,Urban,No,4.0,32,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_861,No,Urban,No,1.0,65,Female,Head of Household,Widowed,No formal education,Self employed
uniqueid_6422,Yes,Rural,Yes,,44,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_4685,No,Urban,Yes,3.0,19,Male,Parent,Divorced/Seperated,Secondary education,No Income
uniqueid_399,No,Rural,Yes,2.0,39,Female,Spouse,Single/Never Married,Primary education,Other Income
uniqueid_6161,No,Urban,No,2.0,30,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_5382,Yes,Rural,Yes,1.0,24,Male,Head of Household,Divorced/Seperated,Vocational/Specialised training,Other Income
uniqueid_5505,No,Urban,No,2.0,23,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_3615,No,Urban,No,1.0,42,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_620,No,Urban,No,3.0,65,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_5779,No,Rural,Yes,2.0,32,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_2032,No,Urban,No,2.0,48,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_119,No,Urban,No,,20,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_2600,No,Urban,Yes,2.0,26,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4122,No,Rural,Yes,4.0,42,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_3932,No,Urban,Yes,1.0,44,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3321,No,Urban,Yes,1.0,41,Female,Head of Household,Widowed,Primary education,Informally employed
uniqueid_3469,No,Rural,Yes,1.0,42,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3981,Yes,Rural,Yes,1.0,58,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4610,No,Urban,No,1.0,66,Female,Head of Household,Widowed,No formal education,Government Dependent
uniqueid_5175,No,Rural,Yes,1.0,61,Female,Head of Household,Widowed,Primary education,Remittance Dependent
uniqueid_6202,No,Urban,No,2.0,46,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_6125,No,Rural,No,4.0,52,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_5883,No,Rural,Yes,1.0,18,Male,Head of Household,Divorced/Seperated,Secondary education,Self employed
uniqueid_3244,No,Urban,Yes,2.0,37,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5002,No,Urban,Yes,1.0,35,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4334,No,Urban,No,4.0,23,Female,Parent,Single/Never Married,Primary education,No Income
uniqueid_4200,No,Rural,Yes,4.0,40,Male,Other relative,Married/Living together,Primary education,Self employed
uniqueid_5429,No,Urban,No,2.0,42,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_6157,No,Urban,Yes,3.0,26,Male,Spouse,Single/Never Married,Tertiary education,Informally employed
uniqueid_2410,No,Urban,Yes,4.0,47,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_6299,No,Urban,No,2.0,25,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_2229,No,Urban,No,2.0,77,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_1556,No,Urban,No,1.0,56,Female,Head of Household,Widowed,No formal education,No Income
uniqueid_3209,No,Urban,No,2.0,45,Female,Head of Household,Widowed,No formal education,Self employed
uniqueid_1031,No,Urban,No,,16,Male,Child,Divorced/Seperated,Secondary education,Informally employed
uniqueid_5733,No,Urban,Yes,3.0,27,Female,Parent,Single/Never Married,Primary education,Informally employed
uniqueid_6164,No,Urban,Yes,1.0,56,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_3180,No,Urban,No,,25,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_2392,No,Urban,No,4.0,20,Female,Parent,Married/Living together,Primary education,Self employed
uniqueid_904,No,Urban,No,1.0,25,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
uniqueid_4290,Yes,Rural,Yes,,28,Male,Head of Household,Divorced/Seperated,Vocational/Specialised training,Formally employed Private
uniqueid_412,No,Urban,Yes,6.0,40,Female,Spouse,Single/Never Married,No formal education,Remittance Dependent
uniqueid_4295,Yes,Urban,Yes,1.0,30,Male,Head of Household,Single/Never Married,No formal education,Formally employed Private
uniqueid_5897,No,Urban,No,1.0,65,Female,Head of Household,Widowed,No formal education,Remittance Dependent
uniqueid_5263,Yes,Rural,Yes,,32,Female,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
uniqueid_949,No,Urban,Yes,2.0,20,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_5869,No,Rural,Yes,2.0,33,Male,Head of Household,Single/Never Married,Secondary education,Formally employed Private
uniqueid_2442,No,Rural,Yes,3.0,28,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
uniqueid_3445,No,Rural,Yes,,29,Male,Head of Household,Single/Never Married,Tertiary education,Informally employed
uniqueid_2368,No,Urban,Yes,2.0,53,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_1913,No,Urban,No,3.0,32,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_4080,No,Urban,Yes,2.0,43,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3808,No,Urban,Yes,5.0,18,Male,Child,Divorced/Seperated,Tertiary education,Informally employed
uniqueid_1799,No,Urban,Yes,3.0,50,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4594,No,Urban,Yes,2.0,30,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
uniqueid_4068,No,Urban,No,2.0,81,Male,Head of Household,Single/Never Married,Primary education,Government Dependent
uniqueid_2780,No,Urban,No,2.0,27,Male,Head of Household,Single/Never Married,Secondary education,Self employed
uniqueid_1184,Yes,Rural,Yes,3.0,25,Female,Other non-relatives,Divorced/Seperated,Tertiary education,Formally employed Private
uniqueid_839,No,Urban,Yes,2.0,37,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_4430,No,Urban,No,2.0,26,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_4227,No,Rural,Yes,2.0,26,Female,Spouse,Single/Never Married,Tertiary education,Self employed
uniqueid_3983,No,Rural,Yes,9.0,22,Female,Parent,Married/Living together,Secondary education,Formally employed Private
uniqueid_1528,No,Urban,No,9.0,55,Female,Spouse,Single/Never Married,Primary education,No Income
uniqueid_1017,No,Urban,No,3.0,48,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_4025,No,Rural,Yes,4.0,39,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1458,No,Urban,No,2.0,41,Female,Spouse,Single/Never Married,No formal education,Remittance Dependent
uniqueid_6123,No,Urban,Yes,2.0,26,Male,Head of Household,Single/Never Married,Secondary education,Self employed
uniqueid_5621,No,Urban,No,3.0,22,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3361,No,Urban,No,1.0,30,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_6272,No,Urban,Yes,3.0,65,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1603,No,Urban,Yes,2.0,32,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_5921,No,Urban,No,2.0,49,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_5442,No,Rural,Yes,3.0,40,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private
uniqueid_789,No,Urban,Yes,2.0,41,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_4880,No,Urban,No,3.0,24,Male,Parent,Divorced/Seperated,Primary education,Informally employed
uniqueid_4514,No,Rural,Yes,4.0,38,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_209,No,Urban,Yes,2.0,22,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_2853,No,Rural,Yes,1.0,32,Male,Head of Household,Divorced/Seperated,Tertiary education,Informally employed
uniqueid_1460,Yes,Rural,Yes,2.0,37,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
uniqueid_4153,No,Urban,No,1.0,70,Female,Head of Household,Widowed,No formal education,Remittance Dependent
uniqueid_3279,No,Rural,No,3.0,17,Male,Parent,Divorced/Seperated,Secondary education,Remittance Dependent
uniqueid_2158,No,Urban,Yes,1.0,28,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1429,No,Urban,No,2.0,25,Female,Spouse,Single/Never Married,No formal education,Informally employed
uniqueid_3198,No,Urban,Yes,,26,Female,Spouse,Single/Never Married,Primary education,No Income
uniqueid_3579,No,Urban,Yes,6.0,20,Male,Parent,Divorced/Seperated,Secondary education,Informally employed
uniqueid_2043,No,Rural,Yes,1.0,25,Female,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_1078,No,Urban,No,2.0,26,Female,Parent,Single/Never Married,Primary education,Remittance Dependent
uniqueid_1396,No,Urban,Yes,3.0,58,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_1311,No,Rural,Yes,2.0,43,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5150,No,Urban,Yes,3.0,50,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2321,No,Rural,Yes,2.0,21,Female,Spouse,Single/Never Married,Secondary education,Informally employed
uniqueid_2861,Yes,Urban,Yes,5.0,68,Female,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_4442,No,Urban,Yes,4.0,46,Female,Spouse,Single/Never Married,Secondary education,Self employed
uniqueid_2677,No,Urban,Yes,2.0,29,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Self employed
uniqueid_3636,No,Urban,Yes,2.0,40,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5123,No,Urban,Yes,1.0,35,Female,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_3467,No,Urban,Yes,3.0,38,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_3284,No,Urban,Yes,1.0,32,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
uniqueid_4797,No,Urban,Yes,,27,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_122,No,Urban,No,2.0,36,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_2015,No,Urban,No,1.0,16,Male,Parent,Divorced/Seperated,Secondary education,No Income
uniqueid_2748,No,Rural,Yes,1.0,21,Male,Head of Household,Divorced/Seperated,Secondary education,Informally employed
uniqueid_4750,No,Urban,Yes,2.0,30,Female,Spouse,Single/Never Married,Tertiary education,Self employed
uniqueid_5491,No,Urban,Yes,2.0,75,Male,Head of Household,Single/Never Married,No formal education,Government Dependent
uniqueid_4980,No,Urban,No,4.0,82,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_2207,No,Urban,Yes,2.0,35,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5500,No,Rural,No,3.0,17,Male,Parent,Divorced/Seperated,Secondary education,No Income
uniqueid_6101,No,Rural,Yes,3.0,38,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_2099,No,Urban,Yes,2.0,35,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_2634,No,Urban,Yes,1.0,37,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_1666,No,Rural,Yes,2.0,20,Female,Spouse,Single/Never Married,Tertiary education,Remittance Dependent
uniqueid_5787,No,Rural,Yes,1.0,29,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_2829,No,Rural,Yes,3.0,17,Male,Other non-relatives,Divorced/Seperated,Primary education,Informally employed
uniqueid_1212,No,Urban,Yes,,41,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1395,No,Rural,No,4.0,18,Female,Parent,Divorced/Seperated,Primary education,No Income
uniqueid_6247,No,Urban,Yes,,54,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2226,No,Rural,No,5.0,16,Female,Other relative,Divorced/Seperated,Primary education,No Income
uniqueid_146,No,Urban,Yes,2.0,61,Male,Head of Household,Single/Never Married,Secondary education,Self employed
uniqueid_3870,No,Urban,No,,42,Female,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_3485,No,Urban,Yes,2.0,32,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_1576,No,Urban,Yes,2.0,44,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_2472,No,Urban,Yes,5.0,51,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_6505,No,Urban,No,2.0,66,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_2469,Yes,Rural,Yes,2.0,27,Female,Spouse,Single/Never Married,Tertiary education,No Income
uniqueid_1757,No,Urban,Yes,3.0,22,Female,Parent,Divorced/Seperated,Primary education,No Income
uniqueid_4659,No,Urban,Yes,2.0,43,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_4331,No,Urban,No,4.0,28,Female,Other relative,Single/Never Married,Primary education,Remittance Dependent
uniqueid_4157,No,Urban,Yes,3.0,34,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_5964,No,Urban,No,1.0,65,Female,Head of Household,Widowed,No formal education,Government Dependent
uniqueid_5428,No,Urban,Yes,2.0,24,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_2205,No,Urban,No,3.0,41,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4868,No,Urban,No,2.0,33,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_4629,No,Urban,Yes,2.0,28,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_1308,No,Rural,No,1.0,59,Female,Head of Household,Married/Living together,Primary education,Formally employed Private
uniqueid_1765,No,Urban,No,2.0,72,Male,Other relative,Widowed,Primary education,Informally employed
uniqueid_4630,No,Urban,Yes,2.0,22,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_4362,No,Urban,Yes,2.0,30,Female,Spouse,Single/Never Married,No formal education,Remittance Dependent
uniqueid_3726,No,Urban,No,2.0,75,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_6183,No,Urban,Yes,2.0,40,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_5767,No,Urban,No,1.0,50,Male,Head of Household,Married/Living together,No formal education,Self employed
uniqueid_1059,No,Rural,Yes,1.0,46,Female,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_2372,No,Urban,Yes,2.0,60,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2816,No,Rural,Yes,3.0,46,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_6046,No,Urban,No,2.0,43,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_562,No,Urban,No,1.0,26,Female,Head of Household,Married/Living together,Secondary education,Self employed
uniqueid_420,No,Urban,Yes,2.0,24,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_2505,No,Urban,No,,18,Female,Parent,Single/Never Married,Primary education,Informally employed
uniqueid_3748,No,Urban,Yes,2.0,25,Female,Head of Household,Married/Living together,No formal education,Self employed
uniqueid_4219,No,Rural,Yes,1.0,24,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
uniqueid_4998,No,Urban,Yes,2.0,29,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_3408,No,Urban,Yes,,37,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_1147,No,Urban,No,1.0,41,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_968,No,Rural,Yes,2.0,27,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_237,No,Urban,Yes,2.0,60,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_4871,Yes,Rural,Yes,1.0,27,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
uniqueid_4642,No,Urban,No,3.0,50,Female,Spouse,Single/Never Married,Primary education,No Income
uniqueid_189,No,Urban,No,1.0,60,Female,Head of Household,Widowed,No formal education,Informally employed
uniqueid_5646,No,Rural,Yes,5.0,19,Female,Parent,Divorced/Seperated,Secondary education,Remittance Dependent
